id,order_id,product_id,quantity,unit_price,unit_cost,discount_rate,discount_amount,line_total,line_cost,line_profit,created_at
1,1,8,1,10490000.0,7553000.0,0.0303,317847.0,10172153.0,7553000.0,2619153.0,2023-08-22 16:32:34
2,2,27,1,150000.0,82000.0,0.0336,5040.0,144960.0,82000.0,62960.0,2023-09-25 07:57:56
3,3,8,1,10490000.0,7553000.0,0.1245,1306005.0,9183995.0,7553000.0,1630995.0,2023-12-09 19:47:13
4,4,9,2,8490000.0,6198000.0,0.008,135840.0,16844160.0,12396000.0,4448160.0,2024-05-08 22:47:19
5,5,27,2,150000.0,82000.0,0.0318,9540.0,290460.0,164000.0,126460.0,2024-10-05 20:44:47
6,5,3,1,22490000.0,15743000.0,0.0286,643214.0,21846786.0,15743000.0,6103786.0,2024-10-05 20:44:47
7,5,5,1,14490000.0,10433000.0,0.0409,592641.0,13897359.0,10433000.0,3464359.0,2024-10-05 20:44:47
8,6,3,1,22490000.0,15743000.0,0.0255,573495.0,21916505.0,15743000.0,6173505.0,2024-12-16 11:46:02
9,6,27,1,150000.0,82000.0,0.1036,15540.0,134460.0,82000.0,52460.0,2024-12-16 11:46:02
10,6,28,3,390000.0,226000.0,0.1517,177489.0,992511.0,678000.0,314511.0,2024-12-16 11:46:02
11,7,31,1,590000.0,354000.0,0.2232,131688.0,458312.0,354000.0,104312.0,2024-12-27 16:44:35
12,8,11,1,6990000.0,5103000.0,0.0296,206904.0,6783096.0,5103000.0,1680096.0,2024-01-05 22:23:26
13,9,3,1,22490000.0,15743000.0,0.0397,892853.0,21597147.0,15743000.0,5854147.0,2024-05-29 08:17:54
14,10,23,1,11990000.0,8513000.0,0.0473,567127.0,11422873.0,8513000.0,2909873.0,2024-08-14 15:48:13
15,11,15,1,16990000.0,12063000.0,0.0911,1547789.0,15442211.0,12063000.0,3379211.0,2024-11-15 15:06:41
16,11,39,1,890000.0,578000.0,0.0721,64169.0,825831.0,578000.0,247831.0,2024-11-15 15:06:41
17,11,45,3,1890000.0,1247000.0,0.0985,558495.0,5111505.0,3741000.0,1370505.0,2024-11-15 15:06:41
18,12,31,1,590000.0,354000.0,0.0368,21712.0,568288.0,354000.0,214288.0,2023-05-20 16:08:23
19,13,37,1,2490000.0,1693000.0,0.0489,121761.0,2368239.0,1693000.0,675239.0,2023-08-16 09:36:25
20,13,17,1,13990000.0,10073000.0,0.0108,151092.0,13838908.0,10073000.0,3765908.0,2023-08-16 09:36:25
21,13,45,1,1890000.0,1247000.0,0.0074,13986.0,1876014.0,1247000.0,629014.0,2023-08-16 09:36:25
22,14,46,1,290000.0,168000.0,0.0424,12296.0,277704.0,168000.0,109704.0,2023-02-26 20:51:25
23,14,11,1,6990000.0,5103000.0,0.0347,242553.0,6747447.0,5103000.0,1644447.0,2023-02-26 20:51:25
24,15,26,2,490000.0,294000.0,0.0374,36652.0,943348.0,588000.0,355348.0,2023-07-19 09:55:07
25,15,22,1,18990000.0,13293000.0,0.0286,543114.0,18446886.0,13293000.0,5153886.0,2023-07-19 09:55:07
26,15,21,3,28990000.0,19713000.0,0.0076,660972.0,86309028.0,59139000.0,27170028.0,2023-07-19 09:55:07
27,16,31,1,590000.0,354000.0,0.0499,29441.0,560559.0,354000.0,206559.0,2023-10-27 20:19:24
28,16,23,1,11990000.0,8513000.0,0.0161,193039.0,11796961.0,8513000.0,3283961.0,2023-10-27 20:19:24
29,16,27,1,150000.0,82000.0,0.0359,5385.0,144615.0,82000.0,62615.0,2023-10-27 20:19:24
30,16,32,2,490000.0,304000.0,0.0455,44590.0,935410.0,608000.0,327410.0,2023-10-27 20:19:24
31,17,29,1,1290000.0,800000.0,0.0395,50955.0,1239045.0,800000.0,439045.0,2024-02-21 16:48:50
32,17,46,3,290000.0,168000.0,0.048,41760.0,828240.0,504000.0,324240.0,2024-02-21 16:48:50
33,17,37,2,2490000.0,1693000.0,0.027,134460.0,4845540.0,3386000.0,1459540.0,2024-02-21 16:48:50
34,18,32,2,490000.0,304000.0,0.0379,37142.0,942858.0,608000.0,334858.0,2024-04-07 10:27:37
35,18,29,2,1290000.0,800000.0,0.0329,84882.0,2495118.0,1600000.0,895118.0,2024-04-07 10:27:37
36,19,17,1,13990000.0,10073000.0,0.0129,180471.0,13809529.0,10073000.0,3736529.0,2024-06-30 19:48:15
37,19,40,2,790000.0,514000.0,0.0407,64306.0,1515694.0,1028000.0,487694.0,2024-06-30 19:48:15
38,19,44,3,2490000.0,1668000.0,0.0027,20169.0,7449831.0,5004000.0,2445831.0,2024-06-30 19:48:15
39,20,8,1,10490000.0,7553000.0,0.0345,361905.0,10128095.0,7553000.0,2575095.0,2024-10-21 19:26:06
40,20,35,2,3490000.0,2373000.0,0.0309,215682.0,6764318.0,4746000.0,2018318.0,2024-10-21 19:26:06
41,21,33,1,6990000.0,4753000.0,0.1376,961824.0,6028176.0,4753000.0,1275176.0,2024-12-05 15:20:02
42,22,31,1,590000.0,354000.0,0.0416,24544.0,565456.0,354000.0,211456.0,2023-05-04 19:29:36
43,22,19,1,11990000.0,8753000.0,0.0168,201432.0,11788568.0,8753000.0,3035568.0,2023-05-04 19:29:36
44,23,19,1,11990000.0,8753000.0,0.0351,420849.0,11569151.0,8753000.0,2816151.0,2023-07-27 10:59:55
45,24,43,2,890000.0,570000.0,0.015,26700.0,1753300.0,1140000.0,613300.0,2023-09-27 07:32:02
46,24,30,2,190000.0,105000.0,0.0309,11742.0,368258.0,210000.0,158258.0,2023-09-27 07:32:02
47,24,40,1,790000.0,514000.0,0.0186,14694.0,775306.0,514000.0,261306.0,2023-09-27 07:32:02
48,25,3,1,22490000.0,15743000.0,0.121,2721290.0,19768710.0,15743000.0,4025710.0,2023-12-01 09:56:11
49,25,35,1,3490000.0,2373000.0,0.0183,63867.0,3426133.0,2373000.0,1053133.0,2023-12-01 09:56:11
50,25,28,1,390000.0,226000.0,0.0533,20787.0,369213.0,226000.0,143213.0,2023-12-01 09:56:11
51,26,27,1,150000.0,82000.0,0.0937,14055.0,135945.0,82000.0,53945.0,2024-02-04 13:55:06
52,27,8,1,10490000.0,7553000.0,0.0391,410159.0,10079841.0,7553000.0,2526841.0,2024-05-15 10:41:38
53,27,28,1,390000.0,226000.0,0.0446,17394.0,372606.0,226000.0,146606.0,2024-05-15 10:41:38
54,27,34,1,8990000.0,6203000.0,0.0353,317347.0,8672653.0,6203000.0,2469653.0,2024-05-15 10:41:38
55,28,18,1,23990000.0,16793000.0,0.031,743690.0,23246310.0,16793000.0,6453310.0,2024-09-21 16:31:10
56,28,39,1,890000.0,578000.0,0.0358,31862.0,858138.0,578000.0,280138.0,2024-09-21 16:31:10
57,28,44,1,2490000.0,1668000.0,0.0406,101094.0,2388906.0,1668000.0,720906.0,2024-09-21 16:31:10
58,28,38,1,2190000.0,1489000.0,0.0398,87162.0,2102838.0,1489000.0,613838.0,2024-09-21 16:31:10
59,29,30,1,190000.0,105000.0,0.1016,19304.0,170696.0,105000.0,65696.0,2024-11-09 19:51:52
60,29,16,1,25990000.0,18193000.0,0.001,25990.0,25964010.0,18193000.0,7771010.0,2024-11-09 19:51:52
61,29,27,1,150000.0,82000.0,0.092,13800.0,136200.0,82000.0,54200.0,2024-11-09 19:51:52
62,30,33,1,6990000.0,4753000.0,0.0418,292182.0,6697818.0,4753000.0,1944818.0,2024-06-21 16:25:43
63,30,45,1,1890000.0,1247000.0,0.0283,53487.0,1836513.0,1247000.0,589513.0,2024-06-21 16:25:43
64,31,26,2,490000.0,294000.0,0.1107,108486.0,871514.0,588000.0,283514.0,2024-11-13 09:10:18
65,32,46,1,290000.0,168000.0,0.1339,38831.0,251169.0,168000.0,83169.0,2024-12-29 11:44:58
66,32,18,1,23990000.0,16793000.0,0.0597,1432203.0,22557797.0,16793000.0,5764797.0,2024-12-29 11:44:58
67,33,15,1,16990000.0,12063000.0,0.0444,754356.0,16235644.0,12063000.0,4172644.0,2024-07-17 18:08:17
68,33,40,1,790000.0,514000.0,0.0488,38552.0,751448.0,514000.0,237448.0,2024-07-17 18:08:17
69,34,1,2,34990000.0,23793000.0,0.028,1959440.0,68020560.0,47586000.0,20434560.0,2024-09-19 20:37:09
70,34,27,1,150000.0,82000.0,0.0473,7095.0,142905.0,82000.0,60905.0,2024-09-19 20:37:09
71,34,34,1,8990000.0,6203000.0,0.0264,237336.0,8752664.0,6203000.0,2549664.0,2024-09-19 20:37:09
72,35,37,1,2490000.0,1693000.0,0.0249,62001.0,2427999.0,1693000.0,734999.0,2024-12-08 18:58:42
